Producto;Lectura_tomada;fecha_lec
152474;6649;2018-1-27 09:00:00
196466;16989;2018-12-10 09:00:00
196842;3639;2017-4-21 09:00:00
229996;7740;2023-9-12 09:00:00
365240;13840;2023-9-21 09:00:00
366168;4933;2017-8-11 09:00:00
372944;6800;2022-6-28 09:00:00
381316;17039;2020-11-18 09:00:00
382058;9458,44;2019-7-31 09:00:00
386166;12355,82;2020-5-2 09:00:00
386618;75546;2017-6-23 09:00:00
387164;9580;2020-11-17 09:00:00
388866;38170,69;2020-9-5 09:00:00
389784;2307;2020-11-9 09:00:00
426158;3023,8;2018-10-31 09:00:00
427557;9119;2020-5-27 09:00:00
457076;37547;2019-7-26 09:00:00
474350;12591;2019-11-30 09:00:00
500311;28299;2019-11-25 09:00:00
510054;10;2021-1-27 09:00:00
540533;5373;2020-3-18 09:00:00
551691;47959;2017-11-27 09:00:00
564181;10660;2022-11-24 09:00:00
564187;964689;2023-7-25 09:00:00
564243;8741;2022-10-27 09:00:00
564251;94765;2023-8-23 09:00:00
564538;3085;2017-1-21 09:00:00
597378;11420;2017-3-29 09:00:00
597778;220;2023-9-15 09:00:00
604853;2919;2017-1-16 09:00:00
626151;8884;2023-7-10 09:00:00
636535;7170;2020-11-18 09:00:00
640805;7978;2020-7-25 09:00:00
640810;96238;2023-6-26 09:00:00
640835;1405;2018-8-23 09:00:00
640838;3271;2022-8-23 09:00:00
640846;6600;2020-7-25 09:00:00
640850;7376;2022-12-26 09:00:00
640852;2672;2018-10-23 09:00:00
1007152;16923;2022-3-22 09:00:00
1010908;5831;2022-12-24 09:00:00
1012088;3296;2021-5-18 09:00:00
1012135;95842;2021-11-17 09:00:00
1012371;11071;2022-6-10 09:00:00
1012821;2191,09;2019-3-31 09:00:00
1013061;10128;2022-6-18 09:00:00
1013070;5433;2017-12-16 09:00:00
1013165;6612;2022-5-30 09:00:00
1013173;1649;2017-1-18 09:00:00
1013194;14328;2018-11-16 09:00:00
1018084;86269;2021-6-15 09:00:00
1018192;812677;2021-7-16 09:00:00
1020332;5279,4;2020-3-2 09:00:00
1021718;6828,22;2020-3-2 09:00:00
1022442;7033,52;2020-5-2 09:00:00
1033054;7607,4;2019-7-31 09:00:00
1038737;4783;2017-11-17 09:00:00
1041500;5730;2019-12-31 09:00:00
1042646;9389;2021-1-21 09:00:00
1055745;3617;2022-6-24 09:00:00
1055831;16542;2020-12-23 09:00:00
1062642;516;2019-11-9 09:00:00
1065479;4983,6;2019-2-28 09:00:00
1070963;11899,66;2019-5-31 09:00:00
1072941;13898;2017-3-28 09:00:00
1075895;2436,22;2019-2-28 09:00:00
1089171;6996;2019-7-30 09:00:00
1093075;5128;2020-11-30 09:00:00
1095868;1585,26;2020-9-30 09:00:00
1098947;97573;2023-7-26 09:00:00
1098964;3955;2022-5-19 09:00:00
1098984;5822;2022-9-23 09:00:00
1100029;4825;2021-10-9 09:00:00
1100227;5963,79;2019-5-31 09:00:00
1110952;9588;2019-3-11 09:00:00
1111029;28156;2020-2-27 09:00:00
1113500;2948,2;2020-9-29 09:00:00
1121083;9123,29;2018-10-31 09:00:00
1121086;5504,84;2020-6-1 09:00:00
1121087;5594,93;2018-9-30 09:00:00
1127523;11274,73;2020-6-1 09:00:00
1136730;4603,68;2019-10-2 09:00:00
1141993;2853;2020-9-2 09:00:00
1147843;15427,45;2020-9-2 09:00:00
1149821;9239,04;2020-6-1 09:00:00
1154535;6435;2020-11-11 09:00:00
1155494;7583,57;2019-10-2 09:00:00
1157558;7991,84;2018-10-31 09:00:00
1160961;26448;2020-6-17 09:00:00
1162520;4730,63;2020-7-2 09:00:00
1162560;4829;2020-11-18 09:00:00
1167960;4033,22;2018-10-31 09:00:00
1167997;9486,52;2018-2-28 09:00:00
1176846;746913;2021-8-26 09:00:00
1186890;3650;2022-4-25 09:00:00
1192618;1705;2022-9-21 09:00:00
1198042;2040;2021-1-15 09:00:00
1205312;22181;2022-7-28 09:00:00
1209271;17018;2022-7-28 09:00:00
1221703;2741;2022-12-24 09:00:00
1223378;592;2022-11-21 09:00:00
1227656;6283,12;2020-8-2 09:00:00
1240987;360,12;2020-10-6 09:00:00
1248887;180;2020-2-15 09:00:00
8535620;31;2022-12-26 09:00:00
8545024;5913;2023-7-21 09:00:00

